Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
Friedrich Air Conditioning	Friedrich	J-Series	7086358	MRH12Y3J	MWH12Y3J	HRCU-A-CB-O	11	25	14.1	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"13,300"	"13,600"	"13,950"	0.96	0.98	1.09	4.08	4.05	3.75		"8,500"	"8,800"	"9,100"	0.81	0.83	0.86	3.08	3.10	3.12		"7,000"		"7,500"	0.90		0.95	2.28		2.31		54%	82%		N/A				-13	"6,300"		"6,556"	1.10		1.25	1.68		1.54						
Fujitsu General America, Inc.	Fujitsu	Halcyon Multi-room Mini-Split Systems	8033584	AOU18RLXFZH	Non-Ducted Indoor Units	HMSV-A-CB	10.3	21.5	13.5	"18,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"6,200"	"22,000"	"24,400"	0.52	1.70	2.02	3.85	3.80	3.54		"6,619"	"14,200"	"23,500"	0.81	1.60	3.18	2.40	2.60	2.16		"6,210"		"22,000"	0.89		3.49	2.04		1.85		90%	94%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"3,378"	z	"12,000"	0.55		2.14	1.80		1.64						
Fujitsu General America, Inc.	Fujitsu	Halcyon Multi-room Mini-Split Systems	8033586	AOU24RLXFZH	Non-Ducted Indoor Units	HMSV-A-CB	10.3	20	13.3	"22,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"6,200"	"25,000"	"29,800"	0.50	1.81	2.85	4.00	4.04	3.06		"6,005"	"15,400"	"26,000"	0.62	1.73	3.57	2.84	2.60	2.13		"5,869"		"25,500"	0.62		3.57	2.77		2.09		86%	98%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"3,207"	z	"13,500"	0.43		2.44	2.19		1.62						
Fujitsu General America, Inc.	Fujitsu	Halcyon Multi-room Mini-Split Systems	8908615	AOU36RLXFZH	Non-Ducted Indoor Units	HMSV-A-CB	10.3	20	13	"35,200"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"12,000"	"36,400"	"42,000"	0.70	2.67	3.29	5.02	4.00	3.74		"11,212"	"21,400"	"39,341"	1.09	2.38	5.13	3.02	2.64	2.25		"10,376"		"36,407"	1.12		5.28	2.72		2.02		87%	93%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"6,301"	z	"22,110"	0.91		3.59	2.03		1.81						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLF/RLX Series	8779045	AOU18RLXFWH	ASU18RLF	HRCU-A-CB-O	10.4	20	13.3	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,000"	"21,600"	"29,000"	0.48	1.75	2.99	4.27	3.62	2.84		"5,485"	"14,600"	"22,759"	0.57	1.42	3.00	2.82	3.02	2.22		"5,205"		"21,600"	0.54		2.75	2.82		2.30		74%	95%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"4,317"	z	"17,913"	0.42		1.83	3.01		2.87						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLF/RLX Series	8718495	AOU18RLXFW1	ASU18RLF	HRCU-A-CB-O	10.5	20	13.3	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,000"	"21,600"	"29,000"	0.48	1.75	2.99	4.27	3.62	2.84		"5,485"	"14,600"	"22,759"	0.42	1.39	2.85	3.83	3.08	2.34		"5,205"		"21,600"	0.39		2.60	3.91		2.43		74%	95%		N/A				-5	"4,745"	z	"19,688"	0.33		2.22	4.21		2.60						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Floor Mounted RLFF Series	6937311	AOU15RLFFH	AGU15RLF	HRCU-A-CB-O	11	20.3	12.5	"14,200"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"18,000"	"20,800"	0.18	1.58	2.01	5.00	3.68	3.03		"2,832"	"11,600"	"19,000"	0.47	1.30	3.04	1.77	2.62	1.83		"2,798"		"18,500"	0.41		3.06	2.00		1.77		89%	97%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"2,320"	z	"15,500"	0.41		2.93	1.66		1.55						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Floor Mounted RLFFH Series	6936997	AOU15RLFF	AGU15RLF	HRCU-A-CB-O	11.2	20.3	12.5	"14,200"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"18,000"	"20,800"	0.18	1.58	2.01	5.00	3.68	3.03		"2,832"	"11,600"	"19,000"	0.32	1.30	2.89	2.59	2.62	1.93		"2,798"		"18,500"	0.26		2.91	3.15		1.86		89%	97%		N/A				-5	"2,593"	z	"17,500"	0.26		2.86	2.92		1.79						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Floor Mounted RLFF Series	6937310	AOU12RLFFH	AGU12RLF	HRCU-A-CB-O	11.3	22.7	13.1	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"19,500"	0.20	1.44	1.84	4.50	3.87	3.10		"2,457"	"10,600"	"15,000"	0.39	1.19	2.32	1.85	2.60	1.89		"2,423"		"15,000"	0.39		2.32	1.82		1.89		77%	100%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"2,252"	z	"14,000"	0.48		2.99	1.38		1.37						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Slim Duct	5751314	AOU12RLFC	ARU12RLF	HRCU-A-CB-O	11.5	20	12.8	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"19,400"	0.15	1.30	2.00	6.00	3.61	2.85		"2,793"	"10,200"	"17,600"	0.17	1.16	2.15	4.76	2.58	2.41		"2,647"		"16,500"	0.18		2.25	4.31		2.18		85%	94%		N/A				-5	"2,377"	z	"15,000"	0.19		2.32	3.75		1.90						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Floor Mounted RLFFH Series	6936996	AOU12RLFF	AGU12RLF	HRCU-A-CB-O	11.6	22.7	13.1	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"19,500"	0.20	1.44	1.84	4.50	3.87	3.10		"2,457"	"10,600"	"15,000"	0.24	1.19	2.17	3.00	2.60	2.02		"2,423"		"15,000"	0.24		2.17	2.96		2.02		77%	100%		N/A				-5	"2,115"	z	"13,000"	0.22		2.06	2.82		1.85						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RL2 Series	5063326	AOU12RLS2	ASU12RLS2	HRCU-A-CB-O	12	25	13.8	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"22,110"	0.20	1.20	2.00	4.50	3.91	3.24		"2,491"	"10,200"	"17,900"	0.20	1.10	2.00	3.65	2.72	2.63		"2,320"		"16,500"	0.21		2.10	3.24		2.34		75%	92%		N/A				-5	"2,081"	z	"15,000"	0.21		2.10	2.90		2.10						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Slim Duct	5751312	AOU9RLFC	ARU9RLF	HRCU-A-CB-O	12.2	21.5	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"18,000"	0.15	0.85	1.80	6.00	4.14	2.93		"2,744"	"9,400"	"16,100"	0.14	0.96	1.78	5.65	2.88	2.66		"2,610"		"15,000"	0.15		1.87	5.11		2.41		83%	93%		N/A				-5	"2,378"	z	"13,500"	0.15		1.92	4.54		2.14						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Compact Cassette	5751313	AOU12RLFC	AUU12RLF	HRCU-A-CB-O	12.2	21.9	12.8	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"19,400"	0.15	1.44	2.00	6.00	3.26	2.85		"2,793"	"10,200"	"17,600"	0.17	1.16	2.15	4.76	2.58	2.41		"2,647"		"16,500"	0.18		2.25	4.31		2.18		85%	94%		N/A				-5	"2,377"	z	"15,000"	0.19		2.32	3.75		1.90						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Floor Mounted RLFF Series	6937309	AOU9RLFFH	AGU9RLF	HRCU-A-CB-O	12.4	26	16	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"18,800"	0.20	0.88	1.84	4.50	4.71	2.99		"2,320"	"7,500"	"14,000"	0.35	0.78	1.97	1.94	2.80	2.08		"2,115"		"14,000"	0.34		2.25	1.82		1.82		74%	100%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"1,843"	z	"11,000"	0.38		2.07	1.42		1.56						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RL2 Series	5063325	AOU9RLS2	ASU9RLS2	HRCU-A-CB-O	12.5	27.2	16.1	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"22,000"	0.20	0.80	1.99	4.50	4.40	3.24		"2,320"	"9,400"	"16,400"	0.20	1.09	1.97	3.40	2.54	2.45		"2,150"		"15,000"	0.21		2.06	3.00		2.18		68%	91%		N/A				-5	"1,945"	z	"13,500"	0.21		2.05	2.71		2.00						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Floor Mounted RLFFH Series	6936995	AOU9RLFF	AGU9RLF	HRCU-A-CB-O	12.6	26	16	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"18,800"	0.20	0.88	1.84	4.50	4.71	2.99		"2,320"	"7,500"	"14,000"	0.20	0.78	1.82	3.40	2.80	2.25		"2,115"		"14,000"	0.19		2.10	3.26		1.95		74%	100%		N/A				-5	"2,047"	z	"12,500"	0.22		2.00	2.73		1.83						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Compact Cassette	5751311	AOU9RLFC	AUU9RLF	HRCU-A-CB-O	13	24	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"18,000"	0.15	0.89	1.80	6.00	3.95	2.93		"2,744"	"9,400"	"16,100"	0.14	0.96	1.78	5.65	2.88	2.66		"2,610"		"15,000"	0.15		1.87	5.11		2.41		83%	93%		N/A				-5	"2,378"	z	"13,500"	0.15		1.92	4.54		2.14						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3HY Series	7993245	AOU15RLS3H	ASU15RLS3	HRCU-A-CB-O	13.3	25.3	13.9	"14,500"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"18,000"	"23,900"	0.17	1.15	2.19	5.29	4.59	3.20		"2,798"	"11,200"	"21,500"	0.35	1.07	2.74	2.34	3.06	2.30		"2,696"		"20,500"	0.36		2.90	2.19		2.07		86%	95%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"2,081"	z	"16,000"	0.37		2.88	1.65		1.63						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3HY Series	8703508	AOU15RLS3H	ASU15RLS3Y	HRCU-A-CB-O	13.3	25.3	13.9	"14,500"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"18,000"	"23,900"	0.17	1.15	2.19	5.34	4.59	3.20		"2,798"	"11,200"	"21,500"	0.35	1.07	2.74	2.34	3.06	2.30		"2,696"		"20,500"	0.36		2.90	2.19		2.07		86%	95%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"2,081"	z	"16,000"	0.37		2.88	1.65		1.63						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3 Series	7993243	AOU15RLS3	ASU15RLS3	HRCU-A-CB-O	13.4	25.3	13.9	"14,500"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"18,000"	"23,900"	0.17	1.15	2.19	5.29	4.59	3.20		"2,798"	"11,200"	"21,500"	0.20	1.04	2.59	4.10	3.14	2.43		"2,696"		"20,500"	0.21		2.75	3.76		2.18		86%	95%		N/A				-5	"2,388"	z	"18,500"	0.21		2.74	3.33		1.98						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall mounted RLS3 Series	8703507	AOU15RLS3	ASU15RLS3Y	HRCU-A-CB-O	13.4	25.3	13.9	"14,500"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"18,000"	"23,900"	0.17	1.15	2.19	5.34	4.59	3.20		"2,798"	"11,200"	"21,500"	0.20	1.04	2.59	4.10	3.14	2.43		"2,696"		"20,500"	0.21		2.75	3.76		2.18		86%	95%		N/A				-5	"2,388"	z	"18,500"	0.21		2.74	3.33		1.98						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3 Series	7993244	AOU12RLS3H	ASU12RLS3	HRCU-A-CB-O	13.8	29.3	15.2	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"22,110"	0.20	1.01	1.94	4.50	4.64	3.34		"2,491"	"9,600"	"17,500"	0.36	0.88	2.21	2.03	3.18	2.32		"2,320"		"16,500"	0.37		2.25	1.84		2.15		75%	94%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"1,638"	z	"11,500"	0.38		2.23	1.26		1.51						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3H Series	8703506	AOU12RLS3H	ASU12RLS3Y	HRCU-A-CB-O	13.8	29.3	15.2	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"22,110"	0.20	1.01	1.94	4.54	4.64	3.34		"2,491"	"9,600"	"17,500"	0.36	0.88	2.21	2.03	3.18	2.32		"2,320"		"16,500"	0.37		2.25	1.84		2.15		75%	94%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"1,638"	z	"11,500"	0.38		2.23	1.26		1.51						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3 Series	7993242	AOU12RLS3	ASU12RLS3	HRCU-A-CB-O	14	29.3	15.2	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"22,110"	0.20	1.01	1.94	4.50	4.64	3.34		"2,491"	"9,600"	"17,500"	0.21	0.85	2.06	3.48	3.30	2.49		"2,320"		"16,500"	0.22		2.10	3.09		2.30		75%	94%		N/A				-5	"2,081"	z	"15,000"	0.22		2.09	2.77		2.10						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3HY Series	8004700	AOU9RLS3H	ASU9RLS3	HRCU-A-CB-O	14	33	18	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"22,000"	0.20	0.66	1.93	4.50	5.33	3.34		"2,286"	"7,000"	"16,000"	0.36	0.61	2.21	1.86	3.36	2.12		"2,150"		"15,000"	0.37		2.25	1.70		1.95		68%	94%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"1,535"	z	"11,000"	0.38		2.23	1.18		1.44						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall mounted H Series	8703349	AOU9RLS3H	ASU9RLS3Y	HRCU-A-CB-O	14	33	18	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"22,000"	0.20	0.66	1.93	4.54	5.33	3.34		"2,286"	"7,000"	"16,000"	0.36	0.61	2.21	1.86	3.36	2.12		"2,150"		"15,000"	0.37		2.25	1.70		1.95		68%	94%		Integrated	150	Operation depends on outdoor temperature & demand		-15	"1,535"	z	"11,000"	0.38		2.23	1.18		1.44						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3HY Series	8703350	AOU12RLS3	ASU12RLS3Y	HRCU-A-CB-O	14	29.3	15.2	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"16,000"	"22,110"	0.20	1.01	1.94	4.54	4.64	3.34		"2,491"	"9,600"	"17,500"	0.21	0.85	2.06	3.48	3.30	2.49		"2,320"		"16,500"	0.22		2.10	3.09		2.30		75%	94%		N/A				-5	"2,081"	z	"15,000"	0.22		2.09	2.77		2.10						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall Mounted RLS3 Series	8004699	AOU9RLS3	ASU9RLS3	HRCU-A-CB-O	14.2	33	18	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"22,000"	0.20	0.66	1.93	4.50	5.33	3.34		"2,286"	"7,000"	"16,000"	0.21	0.59	2.06	3.19	3.46	2.28		"2,150"		"15,000"	0.22		2.10	2.86		2.09		68%	94%		N/A				-5	"1,945"	z	"13,500"	0.22		2.09	2.59		1.89						
Fujitsu General America, Inc.	Fujitsu	Halcyon Single-room Mini-Split Systems Wall mounted RLS3 Series	8703348	AOU9RLS3	ASU9RLS3Y	HRCU-A-CB-O	14.2	33	18	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,100"	"12,000"	"22,000"	0.20	0.66	1.93	4.54	5.33	3.34		"2,286"	"7,000"	"16,000"	0.21	0.59	2.06	3.19	3.46	2.28		"2,150"		"15,000"	0.22		2.10	2.86		2.09		68%	94%		N/A				-5	"1,945"	z	"13,500"	0.22		2.09	2.59		1.89						
Fujitsu General America, Inc.	Fujitsu	J-Series	8693480	AOU36RLAVM	Non-Ducted Indoor Units	HMSV-A-CB	11.4	19	13.3	"3,600"	Yes	Ductless  	Multi-zone	Non-ducted Indoor unit		"16,460"	"42,000"	"42,000"	0.87	3.20	3.20	5.55	3.85	3.85		"16,460"	"25,800"	"42,000"	1.20	2.70	4.43	4.02	2.80	2.78		"14,860"		"37,900"	1.10		4.06	3.94		2.74		90%	90%		Not Needed	-	-		-4	13170		33600	1.02		3.75	3.78		2.63						
Fujitsu General America, Inc.	Fujitsu	J-Series	8693477	AOU48RLAVM	Non-Ducted Indoor Units	HMSV-A-CB	11.4	19.8	12.5	"4,800"	Yes	Ductless  	Multi-zone	Non-ducted Indoor unit		"16,630"	"54,000"	"54,000"	0.91	4.06	4.06	5.36	3.90	3.90		"15,400"	"33,000"	"50,000"	1.00	3.41	4.46	4.51	2.84	3.29		"12,720"		"41,300"	0.92		4.12	4.04		2.94		76%	83%		Not Needed	-	-		-4	11240		36500	0.86		3.84	3.83		2.79						
GD Midea Air-Conditioning Equipment Co.	Lennox	ML-Series	9920041	MLA012S4S-1P	MWMA012S4-2P	HRCU-A-CB-O	10	22	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,660"	"12,000"	"15,600"	0.19	0.99	1.80	5.71	3.54	2.54		"2,928"	"7,800"	"13,159"	0.23	0.87	2.11	3.80	2.64	1.83		"2,562"		"12,038"	0.20		1.97	3.70		1.79		77%	91%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	ML-Series	9920040	MLA012S4S-1P	ducted indoor units	HMSV-A-CB	10	19	12.5	"11,500"	Yes	Ductless	Multi-zone	Ducted Indoor Units		"3,752"	"12,000"	"17,021"	0.19	0.96	1.69	5.82	3.66	2.95		"3,292"	"8,500"	"12,986"	0.23	0.97	2.03	4.16	2.58	1.88		"2,718"		"12,341"	0.21		2.03	3.89		1.78		73%	95%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	ML-Series	9920047	MLA024S4S-1P	MWMA024S4-2P	HRCU-A-CB-O	10	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,260"	"24,000"	"31,200"	0.45	1.95	3.27	4.72	3.60	2.80		"5,808"	"15,400"	"27,155"	0.54	1.64	4.33	3.15	2.76	1.84		"5,082"		"26,030"	0.49		4.29	3.06		1.78		83%	96%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Willis		9038626	WSM09MH20S/O	WSM09MH20S/I	HRCU-A-CB-O	10	20.5	14	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,908"	"9,800"	"11,602"	0.25	0.90	1.18	3.47	3.20	2.89		"6,300"	"6,300"	"7,980"	0.69	0.69	1.09	2.68	2.68	2.14		"6,600"		"6,700"	1.01		1.01	1.92		1.94		58%	84%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
GD Midea Air-Conditioning Equipment Co.	Willis		9038628	WSM18MH20S/O	WSM18MH20S/I	HRCU-A-CB-O	10	22	13	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"6,093"	"18,000"	"19,146"	0.38	1.67	1.59	4.71	3.16	3.53		"11,100"	"11,100"	"12,396"	1.18	1.18	1.50	2.76	2.76	2.42		"10,460"		"12,500"	1.53		2.08	2.01		1.76		65%	101%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
GD Midea Air-Conditioning Equipment Co.	Willis		9038629	WSM24MH20S/O	WSM24MH20S/I	HRCU-A-CB-O	10	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"10,271"	"25,000"	"27,303"	0.65	2.46	3.57	4.65	2.98	2.24		"16,000"	"16,000"	"18,330"	1.91	1.91	2.80	2.46	2.46	1.92		"14,800"		"15,815"	2.48		2.63	1.75		1.76		58%	86%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3C for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1C for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	8129529	MPA009S4S-1P	MWMA009S4-1P	HRCU-A-CB-O	10	23.5	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,102"	"10,000"	"11,800"	0.15	0.80	1.31	5.94	3.66	2.64		"2,388"	"5,700"	"8,678"	0.18	0.70	1.10	3.93	2.38	2.32		"2,173"		"6,291"	0.17		0.88	3.81		2.09		53%	72%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	9962873	MPA009S4S-1P	MWMA009S4-2P	HRCU-A-CB-O	10	23.5	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,102"	"10,000"	"11,800"	0.15	0.80	1.31	5.94	3.66	2.64		"2,388"	"5,700"	"8,678"	0.18	0.70	1.10	3.93	2.38	2.32		"2,173"		"6,291"	0.17		0.88	3.81		2.09		53%	72%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	8129519	MPA012S4S-1L	MWMA012S4-1L	HRCU-A-CB-O	10	21.5	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,580"	"12,000"	"15,800"	0.18	1.09	1.81	6.00	3.22	2.56		"2,882"	"7,600"	"10,830"	0.21	0.84	1.51	3.98	2.64	2.10		"2,506"		"5,807"	0.19		0.96	3.89		1.78		37%	54%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	8129566	MPA012S4S-1P	M22A012S4-1P	HRCU-A-CB-O	10	20.5	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,062"	"12,000"	"16,916"	0.20	0.93	1.70	6.10	3.78	2.91		"7,200"	"3,178"	"11,696"	0.80	0.23	1.50	2.64	4.07	2.29		"2,716"		"7,465"	0.22		1.14	3.65		1.91		44%	64%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
GD Midea Air-Conditioning Equipment Co.	Lennox	MP-Series	8129532	MPA012S4S-1P	MWMA012S4-1P	HRCU-A-CB-O	10	21.5	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,820"	"12,000"	"16,500"	0.18	1.05	1.71	6.15	3.36	2.83		"3,224"	"7,600"	"11,920"	0.23	0.84	1.48	4.18	2.64	2.35		"2,674"		"6,292"	0.20		0.98	4.00		1.88		38%	53%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A															
