General Information													Condition 1 Performance - (47¡F/70¡F)										Condition 2 Performance - (17¡F/70¡F)										Condition 3 Performance - (5¡F/70¡F)*										Pan Heater Data				OPTIONAL Condition 4 Performance - (X¡F/70¡F)*									
Manufacturer	Brand	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	Variable Capacity	HSPF (Region IV):	SEER	EER (@ 95¡F)	ENERGY STAR Certified	Ductless or Ducted	Multi-zone or Single-zone?		Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Capacity (btu/hr)			Input Power (kW)			COP				Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (¡F)	Capacity (btu/hr)			Input Power (kW)			COP		
													Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum	Rated	Maximum	Minimum	Rated	Maximum	Minimum	Rated	Maximum		Minimum		Maximum	Minimum		Maximum	Minimum		Maximum							Minimum		Maximum	Minimum		Maximum	Minimum		Maximum
Haier	Haier	6970204	HSU12VHG(DB)-W	HSU12VHG(DB)-G	Yes	10	20	13	Yes	Ductless	Single-zone		"4,780"	"12,600"	"14,190"	0.27	0.97	1.12	5.16	3.80	3.71		"3,750"	"9,000"	"10,070"	0.37	1.12	1.20	2.91	2.34	2.45		"2,380"		"6,930"	0.24		0.88	2.82		2.30		N/A				N/A									
Haier	Haier	8021588	1U12ES2VHA	AW12ES2VHA	Yes	11	23	12.5	Yes	Ductless	Single-zone		"4,100"	"16,000"	"19,800"	0.23	1.25	1.66	5.33	3.75	3.49		"3,550"	"12,220"	"13,120"	0.33	1.19	1.25	3.11	3.00	3.07		"2,960"		"10,160"	0.30		1.21	2.85		2.46		N/A				N/A									
Haier	Haier	8028528	1U09ES2VHA	AW09ES2VHA	Yes	12	23.5	14.5	Yes	Ductless	Single-zone		"4,000"	"10,000"	"15,000"	0.25	0.65	1.20	4.69	4.51	3.66		"3,200"	"7,400"	"10,800"	0.27	0.63	1.10	3.54	3.44	2.88		"2,800"		"10,000"	0.26		1.18	3.16		2.48		N/A				N/A									
Haier	Haier	8028490	1U18ES2VHA	AW18ES2VHA	Yes	11	21	12.6	Yes	Ductless	Single-zone		"5,400"	"22,000"	"26,400"	0.40	1.83	2.90	3.96	3.52	2.67		"4,500"	"14,000"	"19,600"	0.45	1.50	2.70	2.93	2.74	2.13		"3,800"		"14,900"	0.43		2.10	2.59		2.08		N/A				N/A									
Haier	Haier	8028525	1U24ES2VHA	AW24ES2VHA	Yes	10	20	12.5	Yes	Ductless	Single-zone		"6,800"	"27,700"	"34,800"	0.55	2.35	3.30	3.62	3.45	3.09		"5,800"	"18,500"	"26,000"	0.58	1.90	3.25	2.93	2.85	2.35		"4,700"		"20,500"	0.55		2.80	2.51		2.15		N/A				N/A									
Mitsubishi		7451974	MXZ-2C20NAHZ	Non-Ducted Indoor Units	Yes	9.8	17	13.5	Yes	Ductless	Multi-zone		"11,400"	"22,000"	"25,500"	0.93	1.61	1.61	3.59	4.00	4.00		"13,100"	"13,700"	"22,000"	1.50	1.45	3.07	2.83	2.77	2.10		"12,500"		"22,000"	1.60		3.11	2.29		2.07		Integrated	120W @230V			-13	"10,000"		"19,404"	1.40		2.87	2.09		1.98
Mitsubishi		7451969	MXZ-3C24NAHZ	Non-Ducted Indoor Units	Yes	10	19	13.5	Yes	Ductless	Multi-zone		"11,400"	"25,000"	"25,000"	0.93	1.72	1.72	3.59	4.25	4.25		"13,100"	"14,000"	"25,000"	1.50	1.62	3.56	2.83	2.53	2.06		"12,500"		"25,000"	1.60		3.82	2.29		1.92		Integrated	120W @230V			-13	"10,000"		"22,050"	1.40		3.52	2.09		1.83
Mitsubishi		7451794	MXZ-3C30NAHZ	Non-Ducted Indoor Units	Yes	11	18	12.5	Yes	Ductless	Multi-zone		"11,400"	"28,600"	"28,600"	0.93	2.10	2.10	3.59	4.00	4.00		"13,100"	"18,000"	"28,600"	1.50	1.99	4.19	2.83	2.65	2.00		"12,500"		"28,600"	1.60		4.79	2.29		1.75		Integrated	120W @230V			-13	"10,000"		"25,225"	1.40		4.49	2.09		1.64
Mitsubishi		7434482	MXZ-4C36NAHZ	Non-Ducted Indoor Units	Yes	11.3	19.1	14	Yes	Ductless	Multi-zone		"22,500"	"45,000"	"45,000"	1.09	3.34	3.34	6.05	3.95	3.95		"22,500"	"34,000"	"45,000"	1.55	3.50	4.74	4.26	2.85	2.78		"22,500"		"45,000"	1.78		5.46	3.71		2.41		Integrated	150W @230V			-13	"22,500"		"33,800"	2.33		4.68	2.83		2.12
Mitsubishi		7434477	MXZ-5C42NAHZ	Non-Ducted Indoor Units	Yes	11	19	13.4	Yes	Ductless	Multi-zone		"24,000"	"48,000"	"48,000"	1.17	3.43	3.43	6.01	4.10	4.10		"24,000"	"35,800"	"48,000"	1.66	3.65	4.87	4.23	2.87	2.89		"24,000"		"48,000"	1.91		5.61	3.69		2.51		Integrated	150W @230V			-13	"24,000"		"36,000"	2.50		4.80	2.81		2.20
Mitsubishi		7432944	MXZ-8C48NAHZ	Non-Ducted Indoor Units	Yes	11	18.9	12	Yes	Ductless	Multi-zone		"27,000"	"54,000"	"54,000"	1.40	4.22	4.22	5.65	3.75	3.75		"27,000"	"40,000"	"54,000"	1.99	4.34	5.99	3.98	2.70	2.64		"27,000"		"54,000"	2.28		6.90	3.47		2.29		Integrated	150W @230V			-13	"27,000"		"40,500"	2.99		5.91	2.65		2.01
Mitsubishi		4908219	MUZ-FE09NA	MSZ-FE09NA	Yes	10	26	15.5	Yes	Ductless	Single-zone		"3,000"	"10,900"	"18,000"	0.15	0.71	2.25	5.06	4.50	2.34		"1,700"	"6,700"	"12,500"	0.11	0.65	1.73	4.53	3.02	2.12		"1,200"		"10,900"	0.08		1.46	4.40		2.19		Accessory (MAC-640BH-U)	106W @208V; 130W @ 230 V	A.) Heat mode is selected. B.) The ambient temperature thermistor reads 32F or less for 5 minutes continuously. C.) The defrost thermistor reads 30.2F or less for 5 minutes. D.) Outdoor fan motor is turned ON. 		N/A									
