	 tmpf 
1-3-18 10:00 EDT	M
1-3-18 10:05 EDT	M
1-3-18 10:10 EDT	M
1-3-18 10:15 EDT	M
1-3-18 10:20 EDT	M
1-3-18 10:25 EDT	M
1-3-18 10:30 EDT	M
1-3-18 10:35 EDT	M
1-3-18 10:40 EDT	M
1-3-18 10:45 EDT	M
1-3-18 10:50 EDT	M
1-3-18 10:55 EDT	M
1-3-18 10:56 EDT	10.9
1-3-18 11:00 EDT	M
1-3-18 11:05 EDT	M
1-3-18 11:10 EDT	M
1-3-18 11:15 EDT	M
1-3-18 11:20 EDT	M
1-3-18 11:25 EDT	M
1-3-18 11:30 EDT	M
1-3-18 11:35 EDT	M
1-3-18 11:40 EDT	M
1-3-18 11:45 EDT	M
1-3-18 11:50 EDT	M
1-3-18 11:55 EDT	M
1-3-18 11:56 EDT	12
1-3-18 12:00 EDT	M
1-3-18 12:05 EDT	M
1-3-18 12:10 EDT	M
1-3-18 12:15 EDT	M
1-3-18 12:20 EDT	M
1-3-18 12:25 EDT	M
1-3-18 12:30 EDT	M
1-3-18 12:35 EDT	M
1-3-18 12:40 EDT	M
1-3-18 12:45 EDT	M
1-3-18 12:50 EDT	M
1-3-18 12:55 EDT	M
1-3-18 12:56 EDT	12.9
1-3-18 13:00 EDT	M
1-3-18 13:05 EDT	M
1-3-18 13:10 EDT	M
1-3-18 13:15 EDT	M
1-3-18 13:20 EDT	M
1-3-18 13:25 EDT	M
1-3-18 13:30 EDT	M
1-3-18 13:35 EDT	M
1-3-18 13:40 EDT	M
1-3-18 13:45 EDT	M
1-3-18 13:50 EDT	M
1-3-18 13:55 EDT	M
1-3-18 13:56 EDT	14
1-3-18 14:00 EDT	M
1-3-18 14:05 EDT	M
1-3-18 14:10 EDT	M
1-3-18 14:15 EDT	M
1-3-18 14:20 EDT	M
1-3-18 14:25 EDT	M
1-3-18 14:30 EDT	M
1-3-18 14:35 EDT	M
1-3-18 14:40 EDT	M
1-3-18 14:45 EDT	M
1-3-18 14:50 EDT	M
1-3-18 14:55 EDT	M
1-3-18 14:56 EDT	18
1-3-18 15:00 EDT	M
1-3-18 15:05 EDT	M
1-3-18 15:10 EDT	M
1-3-18 15:15 EDT	M
1-3-18 15:20 EDT	M
1-3-18 15:25 EDT	M
1-3-18 15:30 EDT	M
1-3-18 15:35 EDT	M
1-3-18 15:40 EDT	M
1-3-18 15:45 EDT	M
1-3-18 15:50 EDT	M
1-3-18 15:55 EDT	M
1-3-18 15:56 EDT	21
1-3-18 16:00 EDT	M
1-3-18 16:05 EDT	M
1-3-18 16:10 EDT	M
1-3-18 16:15 EDT	M
1-3-18 16:20 EDT	M
1-3-18 16:25 EDT	M
1-3-18 16:30 EDT	M
1-3-18 16:35 EDT	M
1-3-18 16:40 EDT	M
1-3-18 16:45 EDT	M
1-3-18 16:50 EDT	M
1-3-18 16:55 EDT	M
1-3-18 16:56 EDT	24.1
1-3-18 17:00 EDT	M
1-3-18 17:05 EDT	M
1-3-18 17:10 EDT	M
1-3-18 17:15 EDT	M
1-3-18 17:20 EDT	M
1-3-18 17:25 EDT	M
1-3-18 17:30 EDT	M
1-3-18 17:35 EDT	M
1-3-18 17:40 EDT	M
1-3-18 17:45 EDT	M
1-3-18 17:50 EDT	M
1-3-18 17:55 EDT	M
1-3-18 17:56 EDT	25
1-3-18 18:00 EDT	M
1-3-18 18:05 EDT	M
1-3-18 18:10 EDT	M
1-3-18 18:15 EDT	M
1-3-18 18:20 EDT	M
1-3-18 18:25 EDT	M
1-3-18 18:30 EDT	M
1-3-18 18:35 EDT	M
1-3-18 18:40 EDT	M
